group, ExF
PC / Laptop / Tablet, 422
Mobile / Cell Phone Recordings, 355
CD Player, 324
Internet Radio, 208
Radio,	128
Mp3 or Dictaphone/Voice Recorder,	121
Vinyl Record / 78rpm Player,	78
Audio Cassette,	36
Video or Camcorder Player,	8
Other,	51
