group,ExF
Email,	361
Facebook.com,	289
Dropbox.com,	232
TheSession.org,	221
Google Drive,	157
Streaming services (such as Apple iTunes, Spotify etc),	124
Soundcloud.com,	101
My own website,	68
Forums.chiffandfipple.com,	52
Mudcat.org,	41
YouTube,	35
None of the above,	27
IRTRAD Mailing List,	24
Irish-music.net,	22
Uilleannobsession.com,	19
Sendspace.com / WeTransfer.com,	16
